PlantComp,Year,Month,Age,Height,DBH,Basal_area,Volume
SouthAreasB35b,2013,7,1.21,8.99,7.160270504,5.724444885,18.78390722
SouthAreasB35b,2014,6,2.18,14.78,11.93094715,15.89367629,85.74161548
SouthAreasB35b,2015,6,3.16,16.02,13.40251351,20.05612495,117.2741794
SouthAreasB35b,2016,5,4.08,16.49,14.04528391,22.02599639,132.5711684
SouthAreasB35b,2017,7,5.22,17.15,15.08074757,25.39336531,158.9561185
SouthAreasB35b,2018,8,6.34,22.8,16.12918244,29.04686245,241.7279893
TerraneraB38,2012,10,1.56,9.89,6.591066067,5.041959444,18.2007173
TerraneraB38,2013,6,2.21,15.57,12.12160605,16.83743223,95.68796924
TerraneraB38,2014,6,3.27,16.41,13.51905113,20.94343683,125.4438564
TerraneraB38,2015,7,4.29,16.69,14.04346732,22.59978073,137.6744743
TerraneraB38,2016,5,5.17,16.79,14.20345299,23.1176352,141.6729597
TerraneraB38,2017,7,6.31,17.09,14.78686676,24.73454759,154.2903977
TerraneraB38,2018,8,7.42,21.52,15.32366814,26.56300035,208.6470552
TerraneraC55,2012,6,2.01,15.49,11.85592251,14.24887977,80.56102887
TerraneraC55,2013,6,3.03,18.34,15.05812891,22.9853986,153.8665567
TerraneraC55,2014,6,4.02,19.58,16.83622605,27.90135056,199.402582
TerraneraC55,2015,6,5.01,19.92,17.42153411,29.87504174,217.2154535
TerraneraC55,2016,5,5.92,20.11,17.70434729,31.77385125,233.2248343
TerraneraC55,2017,7,7.06,20.6,18.68665771,34.88454805,262.2969168
TerraneraC55,2018,8,8.18,23.86,19.2635422,37.61684043,327.6013016
TrustD13b,2013,11,2.47,10.86,8.827219153,9.179709934,36.38745221
TrustD13b,2014,10,3.39,11.12,9.210693171,9.994608128,40.56611547
TrustD13b,2015,10,4.4,11.23,9.399790455,10.40920316,42.66680329
TrustD13b,2016,10,5.41,11.58,9.978471776,11.73030237,49.58046902
TrustD13b,2017,11,6.47,11.9,10.53542365,13.07630822,56.79694476
TrustD13b,2018,8,7.23,12.78,10.85753939,13.88813622,64.78398904
TrustE23f,2013,11,1.39,7.2,6.297727243,4.483707215,11.78318256
TrustE23f,2014,9,2.25,10.6,9.590813904,10.61765497,41.07970708
TrustE23f,2015,10,3.33,10.97,10.01705762,11.58238572,46.37645152
TrustE23f,2016,10,4.33,11.46,10.71662941,13.11999302,54.8796188
TrustE23f,2017,11,5.38,12.36,12.06049422,16.61679984,74.96503081
TrustE23f,2018,8,6.14,16.76,12.87280726,18.93057093,115.8058746
TrustE24g,2013,11,5.66,20.03,13.38550465,21.28190252,155.5909252
TrustE24g,2014,9,6.5,20.22,13.69922536,22.29117552,164.5155627
TrustE24g,2015,10,7.57,20.25,13.74550019,22.4420253,165.8746195
TrustE24g,2016,10,8.59,20.45,14.12832587,23.70949795,176.97362
TrustE24g,2017,11,9.63,20.76,14.70798756,25.69493117,194.7007715
TrustE24g,2018,8,10.4,23.61,15.20030209,27.44387229,236.501686
