Compt_ID,year,month,prcp
Kwambo_A017,2008,8,27.743416
Teranera_C55,2008,8,27.87715467
Port_Durnford_B044,2008,8,33.670256
Nyalazi_B032,2008,9,45.13265933
Palm_Ridge_C15a,2008,9,50.94013333
Futululu_E6a,2008,9,50.64653733
Mtubatuba_B003,2008,9,47.52163133
Trust_D13,2008,9,51.51050867
Trust_E23,2008,9,52.64769333
Trust_E24,2008,9,52.54337733
Mavuya_B3a,2008,9,63.69578267
Salpine_G22,2008,9,64.622968
Salpine_G33,2008,9,71.344866
Salpine_F7,2008,9,66.05258933
Kwambo_F011A,2008,9,94.22177
Nseleni_J006,2008,9,97.47907667
Terranera_B38,2008,9,95.60526533
South_Areas_B35b,2008,9,97.17137667
Kwambo_A017,2008,9,100.4211507
Teranera_C55,2008,9,100.20097
Port_Durnford_B044,2008,9,98.53007
Nyalazi_B032,2008,10,18.73882067
Palm_Ridge_C15a,2008,10,20.61286533
Futululu_E6a,2008,10,20.675236
Mtubatuba_B003,2008,10,20.950234
Trust_D13,2008,10,21.73666867
Trust_E23,2008,10,22.73445067
Trust_E24,2008,10,22.85900933
Mavuya_B3a,2008,10,25.595238
Salpine_G22,2008,10,25.855816
Salpine_G33,2008,10,34.57676067
Salpine_F7,2008,10,31.98869133
Kwambo_F011A,2008,10,36.879752
Nseleni_J006,2008,10,39.21298333
Terranera_B38,2008,10,40.14384267
South_Areas_B35b,2008,10,33.6228
Kwambo_A017,2008,10,38.92933333
Teranera_C55,2008,10,40.25495533
Port_Durnford_B044,2008,10,43.645694
Nyalazi_B032,2008,11,71.60136933
Palm_Ridge_C15a,2008,11,67.54189
Futululu_E6a,2008,11,60.548048
Mtubatuba_B003,2008,11,53.93413133
Trust_D13,2008,11,52.72245533
Trust_E23,2008,11,63.02341733
Trust_E24,2008,11,61.47144733
Mavuya_B3a,2008,11,65.030982
Salpine_G22,2008,11,55.661676
Salpine_G33,2008,11,65.48232867
Salpine_F7,2008,11,59.48965533
Kwambo_F011A,2008,11,65.34404867
Nseleni_J006,2008,11,53.010096
Terranera_B38,2008,11,62.83581733
South_Areas_B35b,2008,11,54.73433933
Kwambo_A017,2008,11,61.00311867
Teranera_C55,2008,11,55.780038
Port_Durnford_B044,2008,11,70.046598
Nyalazi_B032,2008,12,55.03932133
Palm_Ridge_C15a,2008,12,61.77869933
Futululu_E6a,2008,12,52.15623067
Mtubatuba_B003,2008,12,49.56980467
Trust_D13,2008,12,48.454956
Trust_E23,2008,12,60.30104
Trust_E24,2008,12,59.72648267
Mavuya_B3a,2008,12,63.31602533
Salpine_G22,2008,12,51.52690467
Salpine_G33,2008,12,61.37991467
Salpine_F7,2008,12,57.68337667
Kwambo_F011A,2008,12,64.781938
Nseleni_J006,2008,12,52.32087467
Terranera_B38,2008,12,62.96152533
South_Areas_B35b,2008,12,52.08414067
Kwambo_A017,2008,12,62.84218467
Teranera_C55,2008,12,53.90566533
Port_Durnford_B044,2008,12,80.47566
Nyalazi_B032,2009,1,122.2063327
Palm_Ridge_C15a,2009,1,117.1273516
Futululu_E6a,2009,1,109.0299995
Mtubatuba_B003,2009,1,104.2023688
Trust_D13,2009,1,115.7382853
Trust_E23,2009,1,115.9200246
Trust_E24,2009,1,112.4243286
Mavuya_B3a,2009,1,126.9952487
Salpine_G22,2009,1,120.277284
Salpine_G33,2009,1,135.3746073
Salpine_F7,2009,1,147.1290366
Kwambo_F011A,2009,1,127.5264386
Nseleni_J006,2009,1,171.0559527
Terranera_B38,2009,1,140.0284678
South_Areas_B35b,2009,1,142.5431931
Kwambo_A017,2009,1,125.5520652
Teranera_C55,2009,1,148.4924287
Port_Durnford_B044,2009,1,163.3920267
Nyalazi_B032,2009,2,116.5974167
Palm_Ridge_C15a,2009,2,115.2368236
Futululu_E6a,2009,2,108.5997862
Mtubatuba_B003,2009,2,103.1069728
Trust_D13,2009,2,116.422646
Trust_E23,2009,2,113.0845079
Trust_E24,2009,2,108.5009246
Mavuya_B3a,2009,2,122.887722
Salpine_G22,2009,2,115.869788
Salpine_G33,2009,2,130.023626
Salpine_F7,2009,2,150.7449139
Kwambo_F011A,2009,2,126.5285706
Nseleni_J006,2009,2,177.4285807
Terranera_B38,2009,2,137.2538365
South_Areas_B35b,2009,2,139.4758185
Kwambo_A017,2009,2,122.6799292
Teranera_C55,2009,2,147.8259067
Port_Durnford_B044,2009,2,176.4506687
Nyalazi_B032,2009,3,51.36371305
Palm_Ridge_C15a,2009,3,57.07972333
Futululu_E6a,2009,3,45.77401733
Mtubatuba_B003,2009,3,45.64729867
Trust_D13,2009,3,45.349254
Trust_E23,2009,3,53.233988
Trust_E24,2009,3,56.62260067
Mavuya_B3a,2009,3,66.46915667
Salpine_G22,2009,3,53.040302
Salpine_G33,2009,3,65.54114581
Salpine_F7,2009,3,57.7731341
Kwambo_F011A,2009,3,64.80723781
Nseleni_J006,2009,3,69.17061267
Terranera_B38,2009,3,70.47815876
South_Areas_B35b,2009,3,74.36400676
Kwambo_A017,2009,3,65.0176999
Teranera_C55,2009,3,76.19030495
Port_Durnford_B044,2009,3,58.99065762
Nyalazi_B032,2009,4,62.11209971
Palm_Ridge_C15a,2009,4,70.22825267
Futululu_E6a,2009,4,63.17736667
Mtubatuba_B003,2009,4,61.59869333
Trust_D13,2009,4,59.780582
Trust_E23,2009,4,65.01058733
Trust_E24,2009,4,68.171514
Mavuya_B3a,2009,4,79.01552133
Salpine_G22,2009,4,64.09137333
Salpine_G33,2009,4,71.13668981
Salpine_F7,2009,4,70.97974276
Kwambo_F011A,2009,4,72.52954448
Nseleni_J006,2009,4,80.216134
Terranera_B38,2009,4,77.2980521
South_Areas_B35b,2009,4,82.50902876
Kwambo_A017,2009,4,76.3400619
Teranera_C55,2009,4,83.72487029
Port_Durnford_B044,2009,4,68.70406362
Nyalazi_B032,2009,5,34.33339019
Palm_Ridge_C15a,2009,5,46.98610667
Futululu_E6a,2009,5,39.74420667
Mtubatuba_B003,2009,5,39.351998
Trust_D13,2009,5,39.47835867
Trust_E23,2009,5,43.67751667
Trust_E24,2009,5,47.77443867
Mavuya_B3a,2009,5,45.80400467
Salpine_G22,2009,5,44.73064981
Salpine_G33,2009,5,46.6765101
Salpine_F7,2009,5,48.25144076
Kwambo_F011A,2009,5,49.61189981
Nseleni_J006,2009,5,49.56958133
Terranera_B38,2009,5,51.82974943
South_Areas_B35b,2009,5,54.8454601
Kwambo_A017,2009,5,53.6382079
Teranera_C55,2009,5,55.51647495
Port_Durnford_B044,2009,5,42.25581829
Nyalazi_B032,2009,6,18.75180352
Palm_Ridge_C15a,2009,6,22.53168838
Futululu_E6a,2009,6,19.10292171
Mtubatuba_B003,2009,6,19.56050371
Trust_D13,2009,6,21.21817305
Trust_E23,2009,6,22.50805638
Trust_E24,2009,6,23.82492629
Mavuya_B3a,2009,6,26.29716838
Salpine_G22,2009,6,20.73155648
Salpine_G33,2009,6,21.96358629
Salpine_F7,2009,6,32.24855857
Kwambo_F011A,2009,6,30.04708267
Nseleni_J006,2009,6,28.38084238
Terranera_B38,2009,6,29.19287419
South_Areas_B35b,2009,6,30.67160752
Kwambo_A017,2009,6,30.80444695
Teranera_C55,2009,6,30.22967267
Port_Durnford_B044,2009,6,29.20855762
Nyalazi_B032,2009,7,13.70643219
Palm_Ridge_C15a,2009,7,16.76454705
Futululu_E6a,2009,7,10.13864638
Mtubatuba_B003,2009,7,10.86384105
Trust_D13,2009,7,11.84004371
Trust_E23,2009,7,12.94176438
Trust_E24,2009,7,14.43576362
Mavuya_B3a,2009,7,22.07764038
Salpine_G22,2009,7,14.92854914
Salpine_G33,2009,7,15.96478962
Salpine_F7,2009,7,25.6884019
Kwambo_F011A,2009,7,17.35921133
Nseleni_J006,2009,7,15.57100505
Terranera_B38,2009,7,17.03948486
South_Areas_B35b,2009,7,18.55951152
Kwambo_A017,2009,7,17.82738695
Teranera_C55,2009,7,18.214222
Port_Durnford_B044,2009,7,15.89723695
Nyalazi_B032,2009,8,50.70236067
Palm_Ridge_C15a,2009,8,52.742216
Futululu_E6a,2009,8,52.49505648
Mtubatuba_B003,2009,8,51.94099648
Trust_D13,2009,8,68.53294067
Trust_E23,2009,8,55.67448267
Trust_E24,2009,8,57.28294867
Mavuya_B3a,2009,8,58.667734
Salpine_G22,2009,8,57.38337514
Salpine_G33,2009,8,58.72880514
Salpine_F7,2009,8,80.6562599
Kwambo_F011A,2009,8,73.12233667
Nseleni_J006,2009,8,92.20089657
Terranera_B38,2009,8,85.84673448
South_Areas_B35b,2009,8,89.49861981
Kwambo_A017,2009,8,79.54462
Teranera_C55,2009,8,89.535502
Port_Durnford_B044,2009,8,85.17307867
Nyalazi_B032,2009,9,45.58118752
Palm_Ridge_C15a,2009,9,45.232206
Futululu_E6a,2009,9,42.94609648
Mtubatuba_B003,2009,9,43.56867314
Trust_D13,2009,9,43.133986
Trust_E23,2009,9,44.715222
Trust_E24,2009,9,44.98249933
Mavuya_B3a,2009,9,46.04924467
Salpine_G22,2009,9,43.93363
Salpine_G33,2009,9,51.04626314
Salpine_F7,2009,9,61.62379686
Kwambo_F011A,2009,9,57.78017467
Nseleni_J006,2009,9,49.37768857
Terranera_B38,2009,9,57.68120581
South_Areas_B35b,2009,9,53.29348048
Kwambo_A017,2009,9,59.31355533
Teranera_C55,2009,9,54.76208667
Port_Durnford_B044,2009,9,59.933392
Nyalazi_B032,2009,10,102.945838
Palm_Ridge_C15a,2009,10,111.6232702
Futululu_E6a,2009,10,112.481166
Mtubatuba_B003,2009,10,109.0798127
Trust_D13,2009,10,97.37878467
Trust_E23,2009,10,108.8314165
Trust_E24,2009,10,101.7948255
Mavuya_B3a,2009,10,107.128567
Salpine_G22,2009,10,105.6624793
Salpine_G33,2009,10,116.9688022
Salpine_F7,2009,10,112.5561955
Kwambo_F011A,2009,10,117.4721773
Nseleni_J006,2009,10,108.2171539
Terranera_B38,2009,10,121.602315
South_Areas_B35b,2009,10,119.6342383
Kwambo_A017,2009,10,104.5223367
Teranera_C55,2009,10,110.2448829
Port_Durnford_B044,2009,10,109.55162
Nyalazi_B032,2009,11,94.49664133
Palm_Ridge_C15a,2009,11,101.6180482
Futululu_E6a,2009,11,107.1774433
Mtubatuba_B003,2009,11,101.411186
Trust_D13,2009,11,89.47111467
Trust_E23,2009,11,99.69169986
Trust_E24,2009,11,95.11017419
Mavuya_B3a,2009,11,97.68718695
Salpine_G22,2009,11,92.38424267
Salpine_G33,2009,11,105.8979502
Salpine_F7,2009,11,110.0950429
Kwambo_F011A,2009,11,113.4442553
Nseleni_J006,2009,11,105.8835699
Terranera_B38,2009,11,115.5387045
South_Areas_B35b,2009,11,115.2133639
Kwambo_A017,2009,11,104.1449913
Teranera_C55,2009,11,106.4607289
Port_Durnford_B044,2009,11,113.801452
Nyalazi_B032,2009,12,88.054708
Palm_Ridge_C15a,2009,12,91.39801352
Futululu_E6a,2009,12,93.198738
Mtubatuba_B003,2009,12,90.38874667
Trust_D13,2009,12,77.498416
Trust_E23,2009,12,90.76599652
Trust_E24,2009,12,86.59806619
Mavuya_B3a,2009,12,90.32911095
Salpine_G22,2009,12,83.99267133
Salpine_G33,2009,12,105.1995848
Salpine_F7,2009,12,101.8788555
Kwambo_F011A,2009,12,106.0859193
