Compt_ID,year,month,srad
Nseleni_J006,2008,8,13.12815937
Terranera_B38,2008,8,13.02942451
South_Areas_B35b,2008,8,13.18498445
Kwambo_A017,2008,8,12.70539751
Teranera_C55,2008,8,13.25166315
Port_Durnford_B044,2008,8,12.84752966
Nyalazi_B032,2008,9,16.35868123
Palm_Ridge_C15a,2008,9,17.66067476
Futululu_E6a,2008,9,15.52676783
Mtubatuba_B003,2008,9,15.578716
Trust_D13,2008,9,16.12778144
Trust_E23,2008,9,15.80571972
Trust_E24,2008,9,15.86987076
Mavuya_B3a,2008,9,17.84969518
Salpine_G22,2008,9,16.15667144
Salpine_G33,2008,9,16.128656
Salpine_F7,2008,9,17.00404805
Kwambo_F011A,2008,9,14.98539403
Nseleni_J006,2008,9,15.59581178
Terranera_B38,2008,9,15.6948651
South_Areas_B35b,2008,9,15.81752437
Kwambo_A017,2008,9,15.44016819
Teranera_C55,2008,9,15.88098952
Port_Durnford_B044,2008,9,15.3165774
Nyalazi_B032,2008,10,16.4570445
Palm_Ridge_C15a,2008,10,17.95764815
Futululu_E6a,2008,10,15.5349418
Mtubatuba_B003,2008,10,15.5783327
Trust_D13,2008,10,16.20139433
Trust_E23,2008,10,15.76128739
Trust_E24,2008,10,15.87909587
Mavuya_B3a,2008,10,18.20176364
Salpine_G22,2008,10,16.21237652
Salpine_G33,2008,10,16.11387036
Salpine_F7,2008,10,17.30271083
Kwambo_F011A,2008,10,14.79111472
Nseleni_J006,2008,10,15.55759351
Terranera_B38,2008,10,15.59100914
South_Areas_B35b,2008,10,15.77848261
Kwambo_A017,2008,10,15.28812281
Teranera_C55,2008,10,15.85051333
Port_Durnford_B044,2008,10,15.17619089
Nyalazi_B032,2008,11,16.57992823
Palm_Ridge_C15a,2008,11,18.06894247
Futululu_E6a,2008,11,15.69320728
Mtubatuba_B003,2008,11,15.70305349
Trust_D13,2008,11,16.27993407
Trust_E23,2008,11,15.84931565
Trust_E24,2008,11,15.98852237
Mavuya_B3a,2008,11,18.31824959
Salpine_G22,2008,11,16.29021426
Salpine_G33,2008,11,16.17235898
Salpine_F7,2008,11,17.46493869
Kwambo_F011A,2008,11,14.93141293
Nseleni_J006,2008,11,15.67390238
Terranera_B38,2008,11,15.71861286
South_Areas_B35b,2008,11,15.89111791
Kwambo_A017,2008,11,15.54145963
Teranera_C55,2008,11,15.96188799
Port_Durnford_B044,2008,11,15.52302321
Nyalazi_B032,2008,12,20.83097446
Palm_Ridge_C15a,2008,12,21.4832425
Futululu_E6a,2008,12,20.32988897
Mtubatuba_B003,2008,12,20.44512407
Trust_D13,2008,12,20.71767924
Trust_E23,2008,12,20.4147187
Trust_E24,2008,12,20.45319176
Mavuya_B3a,2008,12,21.60589228
Salpine_G22,2008,12,20.69347739
Salpine_G33,2008,12,20.38817267
Salpine_F7,2008,12,21.13294985
Kwambo_F011A,2008,12,19.53559892
Nseleni_J006,2008,12,19.94556868
Terranera_B38,2008,12,19.90140541
South_Areas_B35b,2008,12,20.04726397
Kwambo_A017,2008,12,19.98412331
Teranera_C55,2008,12,19.92596865
Port_Durnford_B044,2008,12,19.63694001
Nyalazi_B032,2009,1,19.11409321
Palm_Ridge_C15a,2009,1,20.204522
Futululu_E6a,2009,1,17.58422015
Mtubatuba_B003,2009,1,17.62067614
Trust_D13,2009,1,17.94310805
Trust_E23,2009,1,17.65460522
Trust_E24,2009,1,17.67665261
Mavuya_B3a,2009,1,20.4199053
Salpine_G22,2009,1,17.65750384
Salpine_G33,2009,1,17.78648123
Salpine_F7,2009,1,19.3507122
Kwambo_F011A,2009,1,17.60534885
Nseleni_J006,2009,1,17.52080863
Terranera_B38,2009,1,17.58254098
South_Areas_B35b,2009,1,17.65074314
Kwambo_A017,2009,1,17.47234659
Teranera_C55,2009,1,17.64205233
Port_Durnford_B044,2009,1,17.14784127
Nyalazi_B032,2009,2,19.18470979
Palm_Ridge_C15a,2009,2,20.16689324
Futululu_E6a,2009,2,17.67276528
Mtubatuba_B003,2009,2,17.69470002
Trust_D13,2009,2,17.99889302
Trust_E23,2009,2,17.74464364
Trust_E24,2009,2,17.7651587
Mavuya_B3a,2009,2,20.38245079
Salpine_G22,2009,2,17.77010271
Salpine_G33,2009,2,17.89846686
Salpine_F7,2009,2,19.34981519
Kwambo_F011A,2009,2,17.76782523
Nseleni_J006,2009,2,17.60902125
Terranera_B38,2009,2,17.7090636
South_Areas_B35b,2009,2,17.73096755
Kwambo_A017,2009,2,17.70602744
Teranera_C55,2009,2,17.72720598
Port_Durnford_B044,2009,2,17.43725666
Nyalazi_B032,2009,3,19.06877386
Palm_Ridge_C15a,2009,3,19.99438967
Futululu_E6a,2009,3,17.61674761
Mtubatuba_B003,2009,3,17.63991117
Trust_D13,2009,3,17.93900604
Trust_E23,2009,3,17.70409418
Trust_E24,2009,3,17.72139559
Mavuya_B3a,2009,3,20.18485661
Salpine_G22,2009,3,17.73841413
Salpine_G33,2009,3,17.91316943
Salpine_F7,2009,3,19.20753693
Kwambo_F011A,2009,3,17.78062943
Nseleni_J006,2009,3,17.56560417
Terranera_B38,2009,3,17.68820553
South_Areas_B35b,2009,3,17.69500549
Kwambo_A017,2009,3,17.67636019
Teranera_C55,2009,3,17.69209706
Port_Durnford_B044,2009,3,17.39168157
Nyalazi_B032,2009,4,15.7207
Palm_Ridge_C15a,2009,4,16.45958005
Futululu_E6a,2009,4,15.04636554
Mtubatuba_B003,2009,4,15.03481064
Trust_D13,2009,4,15.28310409
Trust_E23,2009,4,15.04619702
Trust_E24,2009,4,15.06192221
Mavuya_B3a,2009,4,16.50201968
Salpine_G22,2009,4,15.02534643
Salpine_G33,2009,4,14.98330669
Salpine_F7,2009,4,16.17707224
Kwambo_F011A,2009,4,15.08019128
Nseleni_J006,2009,4,14.95464835
Terranera_B38,2009,4,15.02150436
South_Areas_B35b,2009,4,15.05617044
Kwambo_A017,2009,4,14.97393915
Teranera_C55,2009,4,14.95328241
Port_Durnford_B044,2009,4,14.77449295
Nyalazi_B032,2009,5,12.88514531
