Compt_ID,year,month,tmp_max
Terranera_B38,2008,8,25.2713214
South_Areas_B35b,2008,8,25.58321971
Kwambo_A017,2008,8,25.516477
Teranera_C55,2008,8,25.730337
Port_Durnford_B044,2008,8,25.3791146
Nyalazi_B032,2008,9,26.40522202
Palm_Ridge_C15a,2008,9,26.66684819
Futululu_E6a,2008,9,26.27846617
Mtubatuba_B003,2008,9,26.42486301
Trust_D13,2008,9,26.3016733
Trust_E23,2008,9,25.93613983
Trust_E24,2008,9,26.08969801
Mavuya_B3a,2008,9,26.76295063
Salpine_G22,2008,9,26.43048407
Salpine_G33,2008,9,25.65655416
Salpine_F7,2008,9,26.34780124
Kwambo_F011A,2008,9,25.51993688
Nseleni_J006,2008,9,26.23150865
Terranera_B38,2008,9,25.48007798
South_Areas_B35b,2008,9,25.75120911
Kwambo_A017,2008,9,25.74418107
Teranera_C55,2008,9,25.91813251
Port_Durnford_B044,2008,9,25.55913311
Nyalazi_B032,2008,10,26.52494879
Palm_Ridge_C15a,2008,10,27.00826582
Futululu_E6a,2008,10,26.43373714
Mtubatuba_B003,2008,10,26.5996464
Trust_D13,2008,10,26.56141803
Trust_E23,2008,10,26.01219795
Trust_E24,2008,10,26.15813684
Mavuya_B3a,2008,10,27.09105571
Salpine_G22,2008,10,26.56807262
Salpine_G33,2008,10,25.70414863
Salpine_F7,2008,10,26.60100049
Kwambo_F011A,2008,10,25.50268443
Nseleni_J006,2008,10,26.36826476
Terranera_B38,2008,10,25.45721203
South_Areas_B35b,2008,10,25.9169738
Kwambo_A017,2008,10,25.70871314
Teranera_C55,2008,10,26.12970204
Port_Durnford_B044,2008,10,25.33024815
Nyalazi_B032,2008,11,27.64928925
Palm_Ridge_C15a,2008,11,28.1948475
Futululu_E6a,2008,11,27.7355921
Mtubatuba_B003,2008,11,27.85485102
Trust_D13,2008,11,28.09029835
Trust_E23,2008,11,27.62474699
Trust_E24,2008,11,27.82454527
Mavuya_B3a,2008,11,28.24003021
Salpine_G22,2008,11,27.89169389
Salpine_G33,2008,11,27.2988306
Salpine_F7,2008,11,27.85135921
Kwambo_F011A,2008,11,27.0752879
Nseleni_J006,2008,11,27.69853562
Terranera_B38,2008,11,27.12803976
South_Areas_B35b,2008,11,27.34493909
Kwambo_A017,2008,11,27.08762868
Teranera_C55,2008,11,27.45056771
Port_Durnford_B044,2008,11,26.6490296
Nyalazi_B032,2008,12,30.46044635
Palm_Ridge_C15a,2008,12,30.78145853
Futululu_E6a,2008,12,31.01042798
Mtubatuba_B003,2008,12,31.13044813
Trust_D13,2008,12,30.94469728
Trust_E23,2008,12,30.91904449
Trust_E24,2008,12,30.96850358
Mavuya_B3a,2008,12,30.42811085
Salpine_G22,2008,12,30.50903922
Salpine_G33,2008,12,30.24202386
Salpine_F7,2008,12,30.43361708
Kwambo_F011A,2008,12,30.03629614
Nseleni_J006,2008,12,30.36789957
Terranera_B38,2008,12,29.91619979
